title	genre	singers	writers	composers	lyrics
Αερόπλανο θα πάρω 1931	-	Κώστας Νούρος Στέλλα Βογιατζή Ρόζα Εσκενάζη Στελλάκης Περπινιάδης Ρίτα Αμπατζή Ζαχαρίας Κασιμάτης Χαρούλα Αλεξίου Χρυσούλα Χριστοπούλου Μπάμπης Τσέρτος Αγάθωνας Ιακωβίδης Γλυκερία Ελένη Τσαλιγοπούλου Παναγιώτης Λάλεζας Αρετή Κετιμέ Παναγιώτης Λάλεζας	Πάνος Τούντας	Πάνος Τούντας	Εγώ φεύγω και σε αφήνω μια για πάντα βρε αλανάρη στην Αμερική θα πάω κάποιον για να βρω και μαζί του πια θα μείνω. Που με θέλει να με πάρει με δολλάρια θα μεθάω κι όλο θα γλεντώ. Πάψε τα παλιογινάτια πεισματάρα μου να χαρείς τα δυο σου μάτια παιχνιδιάρα μου ξέρεις τι καπνό φουμάρω και για σένα πως μπορώ αερόπλανο να πάρω να έρθω πάλι να σε βρω. Και με αεροπλάνο να έρθεις κι όσο γρήγορα να φτάσεις στο είπα και στο ξαναλέγω πως δε σε αγαπώ μόρτη μου κακό θα πάθεις κι από τη ζήλεια σου θα σκάσεις στην Αμερική θα πάω για να παντρευτώ. Βρε μη μου πατάς τον κάλο πεισματάρα μου θα τα μπλέξεις δίχως άλλο παιχνιδιάρα μου και μη μου γλιστράς σαν χέλι αφού ξέρεις πως μπορώ με την κάμα μου στο χέρι να έρθω πάλι να σε βρω. Δε φοβούμαι βρε μαγκίτη και θα φύγω από την Αθήνα στην Αμερική θα πάω πώς να σου το ειπώ μέσα στον ουρανοξύστη θα περνάω όλο φίνα με ουίσκι θα μεθάω κι όλο θα γλεντώ. Μάθε πως από την Αθήνα πεισματάρα μου δεν μπορείς να κάνεις βήμα παιχνιδιάρα μου και πως δεν ψηφώ τον Χάρο κι αν μου φύγεις πως μπορώ αερόπλανο να πάρω να έρθω πάλι να σε βρω.
Αηδόνι μου 2016	-	Παντελής Θαλασσινός	Γιώργος Μπίμης	Παντελής Θαλασσινός	Αηδόνι μου τι τραγουδάς, τι με ξυπνάς τα βράδια με πόθους και με οράματα στην κάμαρη την άδεια. Αηδόνι μου τι τραγουδάς, στις νότες σου μαθαίνω με της καρδιάς μου το σεβντά να ζω και να πεθαίνω. Για την αγάπη τραγουδώ που ξαγρυπνά τα βράδια σε ένα κορμί που λαχταρά γλυκά φιλιά και χάδια. Για τους ξενύχτες τραγουδώ που δε ρωτούν και πάνε κει που προστάζει η καρδιά και εκεί που αγαπάνε. Αηδόνι μου μην τραγουδάς ολονυχτίς στο ρέμα, όσες αλήθειες κι αν μου πεις όλες θα γίνουν ψέμα.
Αθήνα 2006	-	Μπάμπης Στόκας	Γιώργος Κοφινάς	Μπάμπης Στόκας	Η πόλη κομμάτια σειρήνες χτυπούν το δάκρυ κυλάει σε απρόσωπες κούκλες. Ξορκίζεις τη νύχτα να μοιάζει άλογο καθώς καλπάζεις στις τρύπιες σου ελπίδες. Τα μάτια σου πύλες καλούν να διαβώ και να γυρίσω σκισμένες σελίδες μες τα σοκάκια του αψύχου φως. Απεγνωσμένα ψάχνεις ελπίδες. Λα. Τη νύχτα η Αθήνα αλλάζει με μιας σαν κόκκινα κάρβουνα ανάβουν οι δρόμοι. Σαν μέσα σε λήθη να φεύγουν οι φόβοι. Και να σου ληστεύουν την άδεια ζωή. Χρώματα ανάκατα σε φόντο μολυβί. Πρόσωπα άγνωστα που οδεύουν μπροστά σου σφαίρες οι ήχοι σφυρίζουν στα αυτιά σου κι εσύ διαβαίνεις με πόδια γυμνά. Χλωμά φεγγάρια ανατέλλουν σαν δέντρα κι ο γκρίζος ήλιος να καίει την αυγή φαντάζει απόψε η πόλη αυτή και σου βαραίνει τον ίσκιο σαν πέτρα
Αθήνα Σαλονίκη	Πόνος	Κανά Μελίνα	Μπαλαχούτης Κώστας	Νικολόπουλος Χρήστος	Ξημέρωμα στην εθνική Αθήνα Σαλονίκη του έρωτα η πληρωμή για μας μια καταδίκη. Χτυπά στο τζάμι η βροχή και φτιάχνει τη μορφή σου στα χείλη νιώθω το φιλί και το ζεστό κορμί σου. Μη μου λες αγάπης λόγια από το κινητό να μπορούσε να πετάξει το αυτοκίνητο γρήγορα να έρθω κοντά σου τόσο σε σγαπώ μη μου λες αγάπης λόγια από το κινητό. Χαράματα στην εθνική Θεσσαλονίκη Αθήνα ατέλειωτη επιστροφή στο αμάξι καραντίνα. Ξάφνου φυσάει πιο πολύ και χάνω το μορφή σου ο πόνος γίνεται γυαλί θαμπώνει τη φωνή σου
Αιώνια 2001	-	Θάνος Καλλίρης	Τάσος Βουγιατζής	Σόλων Αποστολάκης	Είχα κι άλλα να σου δώσω είχα κι άλλα να σου πω της αγάπης τα ταξίδια πάλι με έφεραν εδώ. Και το επόμενο λεπτό πάλι εσένα θα σκεφτώ θα εξαντλήσω της σιωπής τα περιθώρια. Κι ύστερα θα έρθω να σε βρω όσο πιο γρήγορα μπορώ. Μέσα στη σκέψη σου θα μπω μέσα στα όνειρα θα ζω αιώνια. Είχα πράγματα κρυμμένα στης ψυχής μου το βυθό καλοκαίρια ξεχασμένα κι όλα μείνανε εδώ
Ακόμα πιστεύω 2007	-	Γλυκερία	Νίκος Γρίτσης	Δημήτρης Κοντόπουλος	Δεν κουράστηκα ποτέ να ονειρεύομαι δεν κουράστηκα με όλα να παλεύω μια ζωή στην ανηφόρα να πορεύομαι και μεγάλα παραμύθια να πιστεύω. Δεν κουράστηκα ποτέ να ερωτεύομαι δεν κουράστηκα να δίνω την ψυχή μου όλα θέλω να τα ζω και να τα γεύομαι μου ανήκει κάθε ώρα και στιγμή μου. Ακόμα στο καλό εγώ πιστεύω ακόμα την πιστεύω την ζωή, και αν δεν μπορώ στον ουρανό να ανέβω μπορεί ο ουρανός να κατεβεί. Δεν κουράστηκα ποτέ να ονειρεύομαι δεν κουράστηκα σε κάτι να ελπίζω όλο κόλπα μαγικά να μηχανεύομαι και ανάποδα τον κόσμο να γυρίζω. Δεν κουράστηκα ποτέ να παγιδεύομαι και να κάνω το ένα λάθος πάνω στο άλλο δεν κουράστηκα ποτέ να εμπιστεύομαι την καρδιά μου τον εχθρό μου τον μεγάλο.
Ακροατήριο κανείς	-	Μανώλης Λιδάκης	Πάρης Μήτσου	Λάκης Ορφανίδης	Μοναχική περιπολία, έρημη στράτα η ζωή. Νυχτερινή μελαγχολία, άδειο πακέτο το πρωί. Λαβωματιά έχεις τις μνήμες στο θολωμένο σου μυαλό. Τη λησμονιά ψάχνεις στις φήμες, απλά περνούν χρόνια και μήνες, βότσαλα σκόρπια στο γιαλό. Μηδαμινή ομολογία πως όλα τέλειωσαν νωρίς. Σιωπηλή απολογία, ακροατήριο κανείς. Λαβωματιά έχεις τις μνήμες στο θολωμένο σου μυαλό. Τη λησμονιά ψάχνεις στις φήμες, απλά περνούν χρόνια και μήνες, βότσαλα σκόρπια στο γιαλό.
Ακροβάτης 2010	-	Σωκράτης Μάλαμας	Άλκης Αλκαίος	Σωκράτης Μάλαμας	Άλλη μια νύχτα άλλη μια μέρα άλλο ένα βήμα στο κενό τα χέρια απλώνει στον αέρα για να πιαστεί από το Θεό. Μην του μιλάτε του ακροβάτη και μην τραβάτε το σχοινί θέλει απόσταση η αγάπη για να κρατιέται ζωντανή. Δεν είναι αυτός έγινε πόλη στους δρόμους του κυκλοφορούν κάτι τρελοί κι ονειροπόλοι που μες στον κόσμο δε χωρούν. Μην του μιλάτε του ακροβάτη και μην τραβάτε το σχοινί θέλει απόσταση η αγάπη για να κρατιέται ζωντανή. Άλλη μια νύχτα άλλη μια μέρα.
Ακροναυπλία 1980	-	Σωτηρία Μπέλλου	Μιχάλης Μπουρμπούλης	Ηλίας Ανδριόπουλος	Μέσα στο Μπούρτζι μια φορά και στην Ακροναυπλία σε βρήκα που ζωγράφιζες στο στήθος σου δυο πλοία. Δεν ήταν που τα σίδερα σου κλείναν τον αγέρα ήταν που τέλειωνε η ζωή μέρα με την ημέρα. Τώρα στην άκρη του γιαλού και στου βυθού τις στράτες γαρύφαλλα σου ρίχνουνε κατάδικοι κι αντάρτες.
Ακρωτήριο Ταίναρον 1997	-	Ελευθερία Αρβανιτάκη	Θοδωρής Γκόνης	Νίκος Ξυδάκης	Στο Σούνιο στο Ταίναρο στο φως και στο σκοτάδι. Με χτυποκάρδι κόκκινο καίω πρωί και βράδυ. Βράχος μαντήλι του γιαλού φανάρι και σινιάλο. Ολόγυμνη στα κύματα τον έρωτα θα ψάλλω. Φρέσκο κατράμι στάζουνε τα ολόξανθα μαλλιά του ξυλάρμενος και για κουπί έχει τα κρίματά του. Βράχος.
