title	genre	singers	writers	composers	lyrics
Ο Μάρτης Μάρτης μίλησε 2006	-	Παντελής Θαλασσινός	Ηλίας Κατσούλης	Παντελής Θαλασσινός	Μάρτης, Μάρτης μίλησε και είπε πως θα αργήσει έχει ακόμα δυο βροχές και μία να χιονίσει. Ένα δεντράκι τα άκουσε και πήγε να λυγίσει του είπα να έχει υπομονή, το φόβο να νικήσει. ότι αργεί κι ότι στη Γη είναι βαθιά κρυμμένο. Πάλι στο φως θα βαφτιστεί και θα έρθει ευλογημένο. Ο Μάρτης χείλη έσκασε, στον ήλιο να γελάσει είπε θα αργήσει, μα θα έρθεί ο κόσμος να χαλάσει. Θα βάλει τα Ανοιξιάτικα να ομορφύνει η πλάση, στα μπλε και στα κατάλευκα θα βγει να παρελάσει. ότι αργεί κι ότι στη Γη είναι βαθιά κρυμμένο, πάλι στο φως θα βαφτιστεί και θα έρθει ευλογημένο.
Ο μέρμηγκας 1974	-	Μάνος Λοΐζος Σωκράτης Μάλαμας	Μάνος Λοΐζος	Μάνος Λοΐζος	Ένας μέρμηγκας κουφός με πήρε απ το χέρι. Είμαι λέει ο πιο σοφός σε ολόκληρο το ασκέρι. Και τα μικρά του τα μερμηγκάκια χειροκροτάνε με ενθουσιασμό εν δυο προσκυνάμε, εν δυο πολεμάμε, εν δυο δεν πεινάμε. Τα βολεύεις μια χαρά σπουδαίο μου μυρμήγκι όμως πρόσεχε καλά το ωραίο σου λαρύγγι. Και τα μικρά του τα μερμηγκάκια χειροκροτάνε με ενθουσιασμό εν δυο προσκυνάμε, εν δυο πολεμάμε, εν δυο μα πεινάμε. Πριν προλάβω να του πω το σύστημα να αλλάξει πλάκωσε όλο το χωριό το μέρμηγκα να χάψει. Και τα μικρά του τα μερμηγκάκια χειροκροτάνε με ενθουσιασμό εν δυο προσκυνάμε, εν δυο μα πεινάμε, εν δυο θα σε φάμε!
Ο μικρός αγέρας 2009	-	Σοφία Παπάζογλου	Δημήτρης Λέντζος	Νεοκλής Νεοφυτίδης	Ένας αγέρας ήτανε μικρός και δροσερός κι όλο φυσούσε κι όλο γυρνούσε και πέρναγε ο καιρός. Αγάπαγε τα σύννεφα και τα ανοιχτά πανιά και τα μαντήλια και τα κοχύλια, τα στάχυα τα χρυσά. Μα πιο πολύ αγάπαγε τα ξέπλεγα μαλλιά και τις στιγμούλες μες στην ανάσα και τα γλυκά φιλιά. Αγέρα, αγέρα, αγόρι μου αγέρα, αγέρα, αγόρι μου. Αγέρα, αγέρα, αγόρι μου αγέρα, αγέρα, αγόρι μου. Ένας αγέρας ήτανε μικρός και δροσερός κι όλο φυσούσε κι όλο γυρνούσε και πέρναγε ο καιρός. Ο έρωτας τον λάβωσε με την απανεμιά και δε φυσάει κι ούτε γυρνάει και δεν ξαναπερνά. Μια μέρα όμως μεγάλωσε κι έγινε βοριάς και με παγώνει και είμαι μόνη κι εσύ δεν με αγαπάς. Αγέρα, αγέρα, αγόρι μου αγέρα, αγέρα, αγόρι μου. Αγέρα, αγέρα, αγόρι μου αγέρα, αγέρα, αγόρι μου.
Ο μικρός μου αδερφός 1998	-	Μανώλης Λιδάκης Ορφέας Περίδης	Θοδωρής Γκόνης	Ορφέας Περίδης	Ένας άνθρωπος κλειστός σαν παρατημένο σπίτι ούτε φως, ούτε καπνός, ούτε τζάμι στο φεγγίτη ο μικρός μου αδελφός ένας άνθρωπος κλειστός σαν παρατημένο σπίτι. Γράφει λόγια στο νερό στα πηγάδια ρίχνει πέτρες στου θεού το φιλιατρό με σχοινιά τραβά δραπέτες τους τραβά έξω στο φως κι ύστερα φεύγει σκυφτός στα βουνά στις μαύρες πέτρες.
Ο μικρός μου φίλος 2009	-	Αρλέτα	Παυλίνα Παμπούδη	Αρλέτα	Ο μικρός μου φίλος δεν είχε όνομα, είχε δυο λυπημένα μάτια, είχε δυο λυπημένα μάτια, στο χρώμα των ονείρων, είχε δυο λυπημένα μάτια, είχε δυο λυπημένα μάτια, στο χρώμα των ονείρων. Δεν είχε όνομα, δεν είχε όνομα, μόνο σαν σφύριζε στα δέντρα ο αέρας άκουγε κι έτρεχε. Ο μικρός μου φίλος δεν είχε βιβλία, στα πράσινα τα φύλλα πάνου, στα πράσινα τα φύλλα πάνου, μόνος συλλάβιζε, στα πράσινα τα φύλλα πάνου, στα πράσινα τα φύλλα πάνου, μόνος συλλάβιζε. Δεν είχε βιβλία, δεν είχε βιβλία, με πεταλούδες λογάριαζε τις μέρες του και με τα κύματα. Ο μικρός μου φίλος δεν είχε όνομα, είχε δυο λυπημένα μάτια, είχε δυο λυπημένα μάτια, στο χρώμα των ονείρων, είχε δυο λυπημένα μάτια, είχε δυο λυπημένα μάτια, στο χρώμα των ονείρων.
Ο μικρός Χριστός 2000	-	Ορφέας Περίδης	Γιώργος Αθάνας	Ορφέας Περίδης	Πήγα χθες στην εκκλησιά κι έφερα κεροδεσιά με ανασήκωσε η νόνα να φιλήσω την εικόνα. Κει που πήγα να ασπαστώ βλέπω το μικρό Χριστό και μου φάνηκε πως κάτι μου έγνεψε με το ένα μάτι. Τον ρωτάω. Τι αγαπάς; Μου είπε φεύγοντας ο παπάς θα βγω στο περβόλι από έξω με όλα τα παιδιά να παίξω.
Ο μονόλογος της κούκλας 2015	-	Φαίδρα Θαλασσινού	Κώστας Φασουλάς	Παντελής Θαλασσινός	Οι μοίρες που με βάφτισαν στη πιο μυστήρια λίμνη, θαρρείς και με ζωγράφισαν στων κοριτσιών τη μνήμη. Πότε νεράϊδα ντύθηκα, πότε νυφούλα στα άσπρα κι άλλες φορές στολίστηκα τον ουρανό με τα άστρα. Το χάδι ήταν το γάλα μου, το όνειρο η ζωή μου, το παραμύθι η σκάλα μου που ανέβαινε η ψυχή μου. Μες στη σιωπή πορεύτηκα, κόρη μαζί και μάνα κι από νωρίς παντρεύτηκα το γέλιο και το κλάμα. Άκουσα τόσα μυστικά που ράγισε η καρδιά μου, καθώς η χτένα μπέρδευε τα αχτένιστα μαλλιά μου.
Ο μόνος 1999	-	Σωκράτης Μάλαμας	Μιχάλης Γκανάς	Νίκος Ξυδάκης	Ο μόνος μόνος περπατά και μοναχός κοιμάται για δυο πονάει κι αγαπά για τέσσερις θυμάται. Ο μόνος μόνος του κερνά και πίνει στην υγειά του σαν δυο πλαγιάζει και ξυπνά στην άδεια αγκαλιά του. Ο μόνος μόνος δεν μπορεί και άλλον δεν αντέχει ο πόνος του οπλοφορεί και άδεια δεν έχει. Ο μόνος μόνος του μιλά και μοναχός δειπνάει τη νύχτα ψάχνει για δουλειά τη μέρα ξενυχτάει
Ο μπατίρης 1950	-	Σωτηρία Μπέλλου Σπύρος Ευσταθίου	Γιάννης Παπαϊωάννου	Γιάννης Παπαϊωάννου	Περνούν χειμώνες και καλοκαίρια, που τριγυρίζω με άδεια χέρια, με άδειες τσέπες ο κακομοίρης και είμαι πάντα εγώ μπατίρης, με άδειες τσέπες ο κακομοίρης και είμαι πάντα εγώ μπατίρης. Εχουν τα ρούχα μου παλιώσει και τα παπούτσια μου ξηλώσει, μα τι να κάνω δεν έχω χρήμα και θα μαι πάντα εγώ το θύμα, μα τι να κάνω δεν έχω χρήμα και θα μαι πάντα εγώ το θύμα. Κι όμως να ξέρεις αυτά τα πάθη, για μια γυναίκα τα έχω πάθει κι όλο μπατίρης εγώ γυρνάω κι αν υποφέρω δεν την ξεχνάω κι όλο μπατίρης εγώ γυρνάω κι αν υποφέρω δεν την ξεχνάω.
Ο μπροστάρης 1974	-	Νίκος Ξυλούρης	Ιάκωβος Καμπανέλλης	Σταύρος Ξαρχάκος	Σήμερα σε είδα κι αναγάλιασα εσένα που σε βύζαξαν οι Μοίρες. Όνειρο κι ελπίδες το στεφάνι μου που σε στόλισα μπροστάρη μου. Σήμερα σε είδα. Γύρισε να ανοίξεις τις πόρτες τις μεγάλες που κλείσανε μια νύχτα. Μάζεψε το σπόρο από τα αλώνια τα μαρμαρένια και σπείρε τα καρπερά χωράφια ακρίτες να αναστηθούν καβαλάρηδες. Όνειρο κι ελπίδες το στεφάνι μου που σε στόλισα μπροστάρη μου. Γύρισε να ανοίξεις τις πόρτες τις μεγάλες που κλείσανε μια νύχτα.
Ο Νικοκλάκιας	-	Στελλάκης Περπινιάδης Μπάμπης Γκολές	Βαγγέλης Παπάζογλου	Βαγγέλης Παπάζογλου	Μάγκες πέσανε στην πιάτσα κι έκαναν πολλά στραπάτσα. Βάρεσαν το Νικοκλάκια το δειλό το κοχλαράκια. Σε έφαγαν ρε Νικοκλάκια Μήτσος, Κώτσος τα τσιράκια γιατί σου έδειχναν τη πίτα και σου κρύβαν τη μανίτα. Λένε πως ο Νικοκλάκιας πριν να γίνει κοχλαράκιας, ήτανε κι αυτός μαγγιώρος, τουφατζής και κασαδόρος. Αχ, ρε Νικολή, φίλε μερακλή, που σε βάρεσαν οι μάγκες για να κάνουν ματσαράγγες.
Ο νους μου επά κι ο νους μου αλλού 2007	-	Ψαραντώνης	Παραδοσιακό	Ψαραντώνης	Ο νους μου επά κι ο νους μου αλλού κι ο νους μου ταξιδεύει. Κι ο νους μου στα βαθιά νερά πάει και καρκατεύγει Κρυγιένω αυτό πεθυμώ φοβούμαι και τρομάζω Αποκοντώ και σέρνομαι φεύγω και πάλι αράζω
Ο ξενιτεμένος	-	Ρόζα Εσκενάζη	Δημήτρης Σέμσης	-	Αχ αμάν Λάμπρο μου με το κανονάκι σου, με έκαψε! Χρόνια πολλά στην ξενιτιά ήμουν και καρτερούσα και την γλυκιά αγάπη μου αχ την επιθυμούσα. Το όνειρο μου το γλυκό ήτανε και ποθούσα να φύγω από την ξενιτιά που πάντα εβλαστημούσα. Αχ κακούργα Ξενιτιά! Και ο πόθος μου επέρασε και ήρθα στην πατρίδα για αυτήν που ονειροπόλαγα και είχα κρυφή ελπίδα. Αλλά και πάλι βλαστημώ και είμαι μετανιωμένος την ξενιτιά επιθυμώ που ζούσα ευτυχισμένος. Ωχ! Γεια σου Σαλονικιέ μου!
Ο Ξένος	-	Φοίβος Δεληβοριάς	Φοίβος Δεληβοριάς	Φοίβος Δεληβοριάς	Πες μου αλήθεια αν το μέρος αυτό υπήρξε ή εγώ το φαντάστηκα; Κάποιοι λένε πως η μνήμη είναι όλη μια απάτη κι εγώ μέσα της πιάστηκα. Πες μου αλήθεια αν το σπίτι αυτό ήταν πάντα χαμηλό και στενάχωρο. Στο μικρό σαλονάκι περιμένω το λύκο να φυσήξει το άχυρο. Πες μου αλήθεια αν αυτή η μουσική ήταν πάντα μπουζούκια κλαψιάρικα. Στο παλιό μου πικάπ μένει μέσα ένα ζωο που μασάει χιλιάρικα. Πες μου αλήθεια αν αυτός ο μπακάλης απέναντι ήταν πάντα μισάνθρωπος. Ούτε μέρα δεν πρόλαβε να ζήσει στο καπό του αμαξιού ο χιονάνθρωπος. Πες μου αλήθεια αν στους Άγιους Πάντες εψάλη ποτέ ο Ακάθιστος. Στην μπανιέρα μου ένας μικρόσωμος πόνος περιμένει αβάφτιστος. Πες μου αλήθεια αν αυτό το τραγούδι θα φτάσει στο κορίτσι που αγάπησα. Το όνομά της ακόμα είναι γραμμένο στο κουδούνι μα εγώ δεν το πάτησα
Ο παπατζής 1934	-	Στελλάκης Περπινιάδης Γιώργος Νταλάρας	Βαγγέλης Παπάζογλου	Βαγγέλης Παπάζογλου	Στον παπά τα κονομούσα και σε εσένα τα ακουμπούσα γιατί σε είχα στην καρδιά μου τέλεια νοικοκυρά μου. Έπαιζα και δαχτυλήθρες μα συ μου ξηγιόσουν τρίχες κι έτρωγες τα τάλιρά μου με άλλονε νοικοκυρά μου. Κι αφού μυρωδιά σε πήρα πρόσεχε ρε κακομοίρα για εσένα θα ξεκάνω για στην τούφα θα πεθάνω
Ο περιπλανητής 2000	-	Μανώλης Φάμελλος Φένια Παπαδόδημα	Μανώλης Φάμελλος	Μανώλης Φάμελλος	Άρχοντας περιπλανητής, στους δρόμους χρόνια ζει και το χαμένο ταίρι του στον κόσμο αναζητεί εφτά ζευγάρια έλιωσε ποδήματα ακριβά σε μια κορφή ανέβηκε τον ήλιο και ρωτά. Ήλιε μου και τρισήλιε μου και κοσμογυριστή συνάντησες στο διάβα σου μια κόρη λυγερή στην κρύα γη του φεγγαριού την είδες να αγρυπνάει στην έρημο γλυκό νερό αν το αχείλι της διψάει. Το φως του ήλιου θάμπωσε σκοτείνιασε ο ουρανός γκρεμός μπροστά μου άνοιξε πως σκιάζομαι ο φτωχός στο δάσος πίσω έτρεξα βαθιά για να κρυφτώ σε μια πηγή ξαπόστασα κι έγειρα να πιω. Εκεί αποκοιμήθηκε στης λίμνης το γιαλό και το όνειρό του κύλησε μες στο θολό νερό και στο βυθό συνάντησε του χάρου το σαράι ο χάρος έπινε κρασί και κείνη τον κερνάει. Κρατώ κερί και φέγγω του γυαλί και τον κερνώ μα άκουσα τη φωνούλα σου και γύρισα να δω και μου ραγίζει το γυαλί σβήνεται το κερί και χύνεται η σταγόνα του στα στήθη μου καυτή. Κι ευθύς ραγίζει το γυαλί σβήνεται το κερί και χύνεται η σταγόνα του στα στήθη της καυτή.
Ο πιο ωραίος 2014	-	Γιάννης Χαρούλης	Μίνωας Μάτσας Β	Μίνωας Μάτσας Β	Πέφτουν σαν βροχή κέρματα, πανό, φωνές και ψέματα κι ούτε μια ψυχή να έρθει να σε πλύνει από τα αίματα. Μέσα στα στενά βρήκαν τη ζωή σου και της ρίξανε θύτης πουθενά άλλη μια φορά τας χείρας νίψανε. Ο πιο ωραίος αγαπά και προσπερνά ο πιο ωραίος δεν πεθαίνει και το αίμα τον ξυπνά. Βρίσκουν τα ρούχα του στον τάφο αδειανά. Ο πιο ωραίος δεν πεθαίνει κι από το αίμα ομορφαίνει. Άδειες γειτονιές, σύρματα, φωτιές, συλλαλητήρια κρέμονται οι γενιές πάνω σε τριάκοντα αργύρια. Στέγνωσε η φωνή, λάμες τριμματίζουνε την άνοιξη δήθεν ταπεινοί, σφάζουν με βαμβάκι και κατάνυξη.
Ο πόνος έγινε βουνό 1965	-	Πάνος Τζανετής	Ερρίκος Θαλασσινός	Γιάννης Μαρκόπουλος	Ο πόνος έγινε βουνό, τα βάσανα ποτάμι, σκουριά σκορπά, σκορπά το δειλινό είναι το σπίτι σκοτεινό κι ο ουρανός κατράμι. Έχασα την αγάπη μου, σε ποιον να πω τα πάθη μου. Στο στήθος καίει μια φωτιά, το μέτωπο παγώνει, βροχή κυλά, κυλά από τη μάτια, ο κόσμος είναι μια ψευτιά, ποτέ δεν ξημερώνει. Έχασα την αγάπη μου, σε ποιον να πω τα πάθη μου.
Ο πόνος όταν τραγουδά 2012	-	Πένυ Παπακωνσταντίνου	Χάρις Τσεκούρα	Χάρις Τσεκούρα	Ο πόνος όταν τραγουδά φορά μαντήλι μαύρο, δίνει βιτσιά του αλόγου του και πάει στην ερημιά, στου στήθους του τα τρίσβαθα και γύρω δεν κοιτά. Τα λόγια βγάζει από τη φωτιά, μεσάνυχτα τα πλένει, με δάκρυ, μουσικό νερό τα σύννεφα κερνά, με όλα τα αφανέρωτα που κρύβει η καρδιά. Με την ψυχή σου ζήσε ίσια και στραβά, εκείνα που πονάνε είναι τα ακριβά. Ο πόνος στο τραγούδι του τον πόνο του ξεχνάει, πλώρη στο φεγγαρόφωτο τον βάζει και τραβά, στης ομορφιάς τα τρίκορφα με βλέφαρα κλειστά. Τα δύσκολα περνάνε, έτσι είναι η ζωή, σαν κύματα πώς σπάνε θα έχουν ξεχαστεί
Ο ποταμός 2003	-	Σοφία Παπάζογλου	Θανάσης Παπακωνσταντίνου	Μανώλης Πάππος	Όπως κυλάει ο ποταμός κυλάει κι η ζωή μου. Έχει τα χρόνια για νερό, όχθες την αντοχή μου. Αλλού θολώνει και γυρνά, χάνεται μες στη δίνη κι αλλού καθρέφτης γίνεται και κλέβει τη σελήνη. Αχ της ζωής μου ποταμέ, ζωή μου που σε χάνω, σε τρώει η μαύρη θάλασσα μα τι μπορώ να κάνω. Έχει κορμούς που πλέουνε και πέτρες που γλιστράνε, έχει και μνήμες πέστροφες, που στην πηγή γυρνάνε. Όνειρα ποταμόπλοια που κόπηκαν στη μέση και αγκαλιές νερόλακκους, γυμνό κορμί να πέσει. Αχ της ζωής μου ποταμέ, ζωή μου που σε χάνω, σε τρώει η μαύρη θάλασσα μα τι μπορώ να κάνω.
Ο πότης 2010	-	Μπάμπης Στόκας	Μπάμπης Στόκας	Μπάμπης Στόκας	Κανείς δεν ξέρει πού να ψάξει να βρει πού κρύβεται ο άλλος εαυτός του αυτός που χάνει συνεχώς το ρυθμό του και συλλαβίζει λάθος τις νότες γελώντας πίσω από τις πόρτες. Κανείς δεν ξέρει πότε φωνάζει και πότε θλίψη από μέσα του βγαίνει πόση χαρά και λύπη του απομένει πόσα σωστά και λάθη θα διαλέξει γελώντας πίσω από τις λέξεις. Άγγελος ή διώκτης αγχωμένος πότης.
Ο πραματευτής 2002	-	Ψαραντώνης	Παραδοσιακό	Παραδοσιακό	Πραματευτής κατέβαινε από ένα βουνί απάνω λαλεί μουλάρια δώδεκα μουλίτσες δεκαπέντε σε μια μουλίτσα ταπεινή μόσχο είχε φορτωμένο. Κι από τον μόσχο τον πολύ κι από τη μυρωδιά του ο νιός εποκοιμήθηκε εις τη μουλίτσα απάνω, μουλίτσες παραστράτησαν σε άγρια μονοπάτια. Χαρά σε τούτα τα βουνά που κλέφτες δεν υπάρχουν ο νιος δεν το είχε να το πει. Άλλοι του ξεφορτώναν κι άλλος βαρά με το σπαθί κι άλλος με το μαχαίρι και το αδερφάκι τον βαρά με κοφτερή φαλτσέτα. Μα αφήστε μωρέ παιδιά κι εμένα τον καημένο, έχω κι εγώ έναν αδερφό στους κλέφτες καπετάνιο. Για πε μας βρε πραματευτή σουσούμια του σπιτιού σας. Μηλιά έχω μες στην πόρτα μας και κλήμα στην αυλή μας. Και τότες το αδερφάκι του έσυρε το μαχαίρι και το βαρά στο στήθος του.
Ο προορισμός 2007	-	Φοίβος Δεληβοριάς	Φοίβος Δεληβοριάς	Φοίβος Δεληβοριάς	Το σίγουρο είναι ότι ξεκίνησα πάλι αργά. Και πάω με τα πόδια συνέχει χαζεύω, κοιτάζω. Μυρμήγκια που σκάβουν στου κόσμου το ρήμαγμα. Μου λένε να σκάψω λιγάκι κι εγώ, μα διστάζω. Κι αν είμαι σε κάτι στα αλήθεια καλός. Φοβάμαι πως είναι το αμήχανο βήμα. Μα εκεί προς το μέρος σου λάμπει ένα φως. Που δείχνει πως είσαι ο προορισμός. Που δείχνει πως είσαι ο προορισμός. Κι αν είναι ένας τρόπος για να έρθω είναι αυτός. Να αλλάζω στη διαδρομή συνεχώς. Να αλλάζω στη διαδρομή συνεχώς. Το σίγουρο είναι ότι πηγαίνω στην ομορφιά. Μα ο μέσα μου αντίπαλος βιάζεται τρέχει να φτάσει. Κοιτάω το όνομά του που αστράφτει στην αγορά. Ακούω το τραγούδι του που θέλει απλά να σου μοιάσει. Κι αν είναι σε κάτι στα αλήθεια καλός. Φοβάμαι πως είναι ο μηχανισμός του. Μα εκεί προς το μέρος σου λάμπει ένα φως. Που δείχνει πως είσαι ο προορισμός. Που δείχνει πως είσαι ο προορισμός. Κι ο δρόμος σου σίγουρα δεν είναι αυτός. Να μένω ο ίδιος μα πιο βιαστικός. Να μένω ο ίδιος μα πιο βιαστικός. Το σίγουρο είναι ότι δεν υπάρχει σιγουριά. Στο δρόμο αυτό δεν υπάρχουν ταμπέλες και βέλη. Μονάχα ουρανός και αέρας και μοναξιά. Κι αυτό που η καρδιά μου συνέχεια κι ακούραστα θέλει. Κι αν είμαι σε κάτι στα αλήθεια καλός. Το ξέρω πως είναι ότι απλά συνεχίζω. Κι εκεί προς το μέρος σου λάμπει ένα φως. Που δείχνει πως είσαι ο προορισμός. Πως είσαι ο δικός μου ο προορισμός. Θα φτάσω εκεί κάποτε θα έρθει ο καιρός. Να σου τραγουδήσω να γίνουμε φως. Να σου τραγουδήσω να γίνουμε φως.
Ο πυρετός 2009	-	Σωκράτης Μάλαμας	Έμη Σίνη	Άγγελος Αγγέλου	Είμαι εγώ ο πυρετός είμαι άντρας δυνατός και σε όλους σας γνωστός σαν πολύ σκληρός εχθρός. Όταν με αντικρίζουν όλοι στο κρεβάτι τους αφήνω κι όποτε μου κάνει κέφι τους παγώνω ή τους ψήνω. Τους ζεσταίνω, τους κρυώνω φέρνω ρίγη, τους ιδρώνω μεγαλώνω και μικραίνω από δω κι εκεί πηγαίνω. Πότε γίνομαι σαράντα και παραμιλάνε πάντα πότε είμαι τριαντα εφτά και πονάνε τα πλευρά. Και τα βάζω με πολλούς με μεγάλους και μικρούς όλοι τους με πολεμάνε μα ποτέ δε με νικάνε. Μια μου ρίχνουν πορτοκάλια και μπανάνες και παπάγια μια με λούζουνε με τσάγια ή με ξόρκια και με μάγια. Τους ζεσταίνω, τους κρυώνω φέρνω ρίγη, τους ιδρώνω μεγαλώνω και μικραίνω από δω κι εκεί πηγαίνω. Τριάντα εφτά, τριάντα οχτώ, τριάντα εννιά ανεβαίνω κι όλο ανεβαίνω τριάντα εφτά, τριάντα οχτώ, τριάντα εννιά πυρετός. Και νομίζουν πως κερδίζουν σαν τα μάγουλα ροδίζουν αλλά όμως δε γνωρίζουν ότι άδικα ελπίζουν. Κι ότι θα με ξαναδούνε τους χειμώνες που θα έρθουνε ναι, θα με ξαναδούνε τους χειμώνες που θα έρθουνε.
Ο Σάντσο Πάντσα στην οδό Σταδίου	Ζωής	Στόκας Μπάμπης	Αλκαίος Αλκης	Στόκας Μπάμπης	Φτωχέ μου Σάντσο από το Λεβάντε έζησε πάντοτε αφανής για σένα και τον Ροσινάντε δε νοιάστηκε ποτέ κανείς.
Ο σιδεράς 1965	-	Λάκης Παππάς Μανώλης Λιδάκης	Ιάκωβος Καμπανέλλης	Μάνος Χατζιδάκις	Ώρα κακή στο σιδερά, κακό έστησε καρτέρι κι ο μάστορης το δίκιο του ζητά κι ας το ξέρει κάλλιο το χέρι να χτυπά σε δίκοπο μαχαίρι. Μωρέ είναι δύσκολο πολύ να βγει η αλήθεια στο κλαρί σαν πρωτοπέταχτο πουλί και να λαλεί και να λαλεί μωρέ είναι δύσκολο πολύ να βγει η αλήθεια στο κλαρί
Ο Στράτης ο θαλασσινός ανάμεσα στους αγάπανθους 1973	-	Νίκος Ξυλούρης	Γιώργος Σεφέρης	Γιάννης Μαρκόπουλος	Δεν έχει ασφοδίλια, μενεξέδες, μήτε υακίνθους πώς να μιλήσεις με τους πεθαμένους. Οι πεθαμένοι ξέρουν μονάχα τη γλώσσα των λουλουδιών γι αυτό σωπαίνουν ταξιδεύουν και σωπαίνουν, υπομένουν και σωπαίνουν παρά δήμων ονείρων, παρα δήμων ονείρων. Αν αρχίσω να τραγουδώ θα φωνάξω κι αν φωνάξω. Οι αγάπανθοι προστάζουν σιωπή σηκώνοντας ένα χεράκι μαβιού μωρού της Αραβίας ή ακόμη τα πατήματα μιας χήνας στον αέρα. Είναι βαρύ και δύσκολο, δέ μου φτάνουν οι ζωντανοί πρώτα γιατί δε μιλούν, κι ύστερα γιατί πρέπει να ρωτήσω τους νεκρούς για να μπορέσω να προχωρήσω παρακάτω. Αλλιώς δε γίνεται, μόλις με πάρει ο ύπνος οι σύντροφοι κόβουνε τους ασημένιους σπάγκους και το φλασκί των ανέμων αδειάζει. Το γεμίζω κι αδειάζει, το γεμίζω κι αδειάζει ξυπνώ σαν το χρυσόψαρο κολυμπώντας μέσα στα χάσματα της αστραπής. Και ο αγέρας και ο κατακλυσμός και τα ανθρώπινα σώματα, κι οι αγάπανθοι καρφωμένοι σαν τις σαΐτες της μοίρας στον αξεδίψαστη γης συγκλονισμένοι από σπασμωδικά νοήματα. Θα έλεγες είναι φορτωμένοι σε ένα παμπάλαιο κάρο κατρακυλώντας σε χαλασμένους δρόμους, σε παλιά καλντερίμια, οι αγάπανθοι τα ασφοδίλια των νέγρων. Πώς να τη μάθω ετούτη τη Θρησκεία; Το πρώτο πράγμα που έκανε ο Θεός είναι η αγάπη έπειτα έρχεται το αίμα κι η δίψα για το αίμα που τον κεντρίζει το σπέρμα του κορμιού καθώς το αλάτι. Το πρώτο πράγμα που έκανε ο Θεός είναι το μακρινό ταξίδι εκείνο το σπίτι περιμένει με ένα γαλάζιο καπνό με ένα σκυλί γερασμένο περιμένοντας για να ξεψυχήσει το γυρισμό. Μα πρέπει να με αρμηνέψουν οι πεθαμένοι είναι οι αγάπανθοι που τους κρατούν αμίλητους, όπως τα βάθη της Θάλασσας ή το νερό μες στο ποτήρι.
Ο ταμπουράς του Σταύρου 1991	-	Χαΐνηδες	Δημήτρης Ζαχαριουδάκης	Δημήτρης Αποστολάκης	Τα μάτια μου δε χαίρουνται τα χείλη δε γελούνε χίλιες να βλέπουν ομορφιές μια μέρα αν δε σε δούνε. Τα μάτια σου είναι μάτια μου τα χείλη σου δικά μου και τα σγουρά σου τα μαλλιά χορδές του ταμπουρά μου.
Ο Τζάνγκο 2011	-	Χαΐνηδες Δημήτρης Πουλικάκος	Δημήτρης Αποστολάκης	Δημήτρης Αποστολάκης	Του Τζάνγκο του αρχιληστή ήταν γραφτό του να πιαστεί σε μια ληστεία και είπε από τη φυλακή πως η ζωή είναι τραγική μαζί κι αστεία. Πήγαν στον Τζάνγκο το ληστή οι τίμιοι κι οι σεβαστοί για να του πούνε είναι καιρός να αλλάξει νου και ότι πρέπει από κοινού να εργαστούνε. Ήξερε ο Τζάνγκο τις καρδιές να ανοίγει και τις κλειδαριές με μια καρφίτσα και τον αγάπησαν πολύ όλου του κόσμου οι τρελοί και τα κορίτσα. Τον Τζάνγκο βρήκανε νεκρό ένα ξημέρωμα πικρό μα εγώ τον είδα σαν μια καρφίτσα φωτεινή να την καλούν οι ουρανοί σαν ηλιαχτίδα. Άγαλμα φτιάξαν του ληστή κι οι τίμιοι κι οι σεβαστοί όλο καμάρι σέρνουν του Τζάνγκο τη φωνή σαν της αρκούδας το σκοινί μες στο παζάρι. Ο Πέτρος τρέχει και ρωτά με αγγέλους τάγματα εφτά για συνοδειά του ψάχνουν τον Τζάνγκο το ληστή που έχει εξαφανιστεί με τα κλειδιά του. Εν Παραδείσω τη εικοστή πρώτη του μηνός Σεπτεμβρίου του σωτηρίου έτους 2311 μετά Χριστόν. Ο επικίνδυνος και αμετανόητος ειδεχθής ληστοσυμμορίτης Τζάνγκο παραμένει ασύλληπτος μέχρις και σήμερον. Συνωστισμός ψυχών παρατηρείται εις τας Πύλας του Αιώνος. Το έκτακτον και αλλόφρον της καταστάσεως οδήγησαν εις τη λήψη δραστικών μέτρων, αρχής γενομένης από της επικηρύξεως του θρασυτάτου ληστού. Οιαδήποτε χρήσιμος πληροφορία ανταμοιφθήσεται διά διαγραφής αμαρτημάτων οίτινα θα ποικίλλουν εκ της αξιολογήσεως της εν λόγω πληροφορίας. Φήμαι οίαι διεδόθησαν και ήθελον τον επαίσχυντον αρχιληστήν κεκρυμμένον παρά του Άρχοντος του Σύμπαντος εις τη μεγαλόθυμον οικίαν του, ίνα προκαλεί εις αυτόν ακατάσχετον γέλωτα, κρίνονται ως απολύτως αβάσιμαι. Πάσα νεωτέρα είδησις θα κοινοποιείται εις το θεοσεβές ποίμνιον εκ του γραφείου υποδοχής τε και ασφαλείας απωλεσθέντων ψυχών. Ευλογία Κυρίου και έλεος έλθει εφη ημάς.
